2.64,2.69,2.61,0.04,7,0.035
2.31,2.35,2.28,0.035,8,0.04
2.06,2.1,2.03,0.035,9,0.045
1.86,1.9,1.83,0.035,10,0.05
1.7,1.72,1.66,0.03,11,0.055
