theta,I
156.2,368.04
157.1,394.3
158.1,428.72
159.3,467.56
160.5,506.41
161.5,537.15
162.4,568.62
163.3,604.17
164.2,636.75
165.2,671.89
166.2,711.35
167.2,749.54
168.4,796.08
169.7,848.27
170.7,895.66
171.6,935.86
172.4,970.66
173.2,1003
173.9,1036.62
174.9,1076.77
176,1127.31
177.5,1194.88
178.9,1263.17
180.3,1333.52
181.4,1387.76
182.3,1423.59
182.9,1452.25
183.3,1475.21
183.4,1483
183.4,1482.03
183.4,1480.25
183.4,1479.95
183.4,1479.76
183.4,1480.85
183.4,1481.77
183.4,1480.53
183.4,1481.03
183.4,1481.43
183.4,1482.1
183.4,1481.77
183.4,1481.49
183.4,1480.75
183.4,1481.49
183.4,1482.05
183.4,1481.83
183.4,1480.83
183.4,1480.57
183.4,1481.09
183.4,1480.99
183.4,1480.44
183.4,1480.18
183.4,1480.06
183.4,1479.64
183.4,1480.66
183.4,1480.65
183.4,1480.48
183.4,1481.46
183.4,1483.07
183.5,1486.5
184.8,1538.72
186.2,1617.29
187.7,1682.71
188.9,1742.19
190.3,1804.34
191.5,1861.17
192.7,1914.6
194,1971.66
195.1,2024.83
196.1,2074.05
197,2114.19
198,2156.1
198.9,2191.02
199.5,2215.69
200.1,2237.44
200.5,2258.29
201.1,2276.87
201.5,2297.71
202.1,2321.91
202.7,2342.57
203.1,2360.9
203.8,2385.87
204.5,2416.02
205.1,2438.88
205.8,2462.63
206.5,2487
207.4,2515.72
208.4,2546.51
209.4,2581.51
210.7,2614
211.7,2642.42
212.8,2668.38
213.8,2693.83
214.7,2713.22
215.6,2732.26
216.1,2743.03
216.4,2748.31
216.7,2754.62
217,2759.52
217.2,2762.3
217.2,2761.68
217.2,2762
217.2,2760.56
217.2,2761.47
217.2,2762.35
217.2,2761.6
217.2,2761.99
217.2,2762.7
217.2,2762.38
217.2,2762.21
217.2,2761.95
217.2,2762.4
217.2,2762.5
217.2,2762.51
217.2,2761.99
217.2,2762.44
217.2,2762.61
217.2,2762.87
217.2,2762.4
217.2,2762.1
217.2,2762.32
217.2,2760.38
217.2,2760.99
217.2,2760.51
217.2,2761.17
217.2,2760.85
217.2,2763.72
217.8,2774.82
218.8,2789.29
220,2811.58
221.2,2826.83
222.8,2846.38
224.5,2862.79
226.3,2872.03
228.1,2875.2
230.2,2868.28
232.3,2851.72
234.5,2828.67
236.4,2800.23
238.1,2766.76
239.8,2734.8
241.4,2697.02
243,2652
244.5,2610.86
246.1,2565.34
247.4,2512.81
248.8,2466.29
249.8,2424.99
250.7,2390.71
251.7,2352.44
252.7,2313.14
253.6,2275.3
254.7,2231.71
255.9,2180.11
256.8,2139.26
257.5,2104.02
258.2,2069.07
258.5,2054.35
258.5,2054.25
258.5,2054.23
258.5,2053.89
258.5,2053.73
258.5,2053.5
258.5,2053.82
258.5,2053.61
258.5,2053.92
258.5,2053.36
258.5,2053.67
258.5,2053.53
258.5,2053.82
258.5,2053.39
258.5,2053.35
258.5,2053.18
258.5,2053.77
258.5,2053.5
258.5,2052.91
258.5,2052.65
258.5,2052.63
258.5,2053.38
258.5,2053.52
258.5,2053.05
258.5,2053.21
258.6,2047.51
259.5,2007.02
260.8,1945.56
262.4,1867.4
264.1,1784.49
265.8,1697.5
267.7,1589.5
269.5,1498.21
271,1418.13
272.6,1336.76
274.5,1242.87
276.3,1148.66
278.1,1057.67
280.1,960.62
281.8,879.99
283,823.65
284,779.58
285.1,728
286.3,677.4
287.6,620.33
288.7,578.4
290,530.66
291.1,486.49
292.1,450.03
293,421.46
293.1,413.15
293.1,413.36
293.1,413.32
293.1,413.46
293.1,413.39
293.1,413.5
293.1,413.54
293.1,413.77
293.1,413.63
293.1,413.52
293.1,413.49
293.1,413.64
293.1,413.68
293.1,413.51
293.1,413.39
293.1,413.5
293.1,413.66
293.1,413.59
293.1,413.41
293.1,413.32
293.1,413.51
293.1,413.7
293.1,413.41
293.1,413.08
294.4,370.72
296,321.76
297.5,285.64
299,241.55
300.8,197.56
302.6,158.14
304.7,119.06
306.8,89.78
309.1,62.39
311.4,43.69
313.4,35.88
315,33.51
316.1,34.36
316.9,36.27
317.4,38.13
318.1,40.97
319,45.3
320,53.16
321.3,64.74
322.7,77.9
324.2,96.97
325.5,117.79
326.4,131.53
327.2,146.82
327.9,157.69
328,161.06
328,161.19
328,161.11
328,161.15
328,161.03
328,160.84
328,161.05
328,161.12
328,161.2
328,161.12
328,161.02
328,160.94
328,161.03
328,161.09
328,161.05
328,161.04
328,161.01
328,160.92
328,160.74
328,160.98
328,160.91
328,160.82
328,161.51
329,180.68
330.2,207.86
331.2,230.22
332.1,249.82
333,273.43
333.8,295.24
335,328.06
336.3,366.73
337.9,410.92
339.2,457.07
340.6,494.93
341.9,541.2
343.1,585.12
344,618.11
344.9,651.09
346.1,696.4
347.5,752.51
349.2,817.47
350.8,887.76
352.4,953.58
353.8,1016.59
355.2,1081.21
356.6,1144.45
357.6,1192.23
358.4,1227.02
359.1,1260.58
359.8,1295.47
360.5,1333.35
360.9,1348.14
360.9,1348.21
360.9,1347.37
360.9,1350.5
360.9,1349.28
360.9,1349.02
360.9,1351.19
360.9,1350.82
360.9,1350.47
360.9,1350.78
360.9,1351.12
360.9,1350.73
360.9,1350.54
360.9,1350.4
360.9,1351.16
360.9,1351.59
360.9,1351.2
360.9,1350.47
360.9,1350.3
360.9,1351.35
360.9,1352.04
360.9,1351.16
360.9,1350.25
360.9,1350.25
360.9,1351.5
360.9,1351.73
360.9,1351.59
360.9,1351.18
360.9,1350.85
360.9,1351.27
360.9,1351.44
360.9,1351.72
360.9,1351.3
360.9,1351.79
361.4,1377.65
361.9,1399.67
362.3,1420.88
363,1448.47
363.8,1485.86
364.7,1525.83
365.6,1572.72
366.8,1629.04
368.1,1687.8
369.7,1756.58
371.6,1841.62
373.7,1931.2
375.8,2021.58
377.8,2109.18
380.3,2204.1
382.5,2310.33
384.8,2390.48
386.9,2461.85
388.8,2522.99
390.6,2573.31
392,2610.54
393.2,2639.94
394.4,2663.66
395.4,2684.06
396.3,2700.61
397.2,2715.81
398.3,2729.19
399.3,2744.9
400.7,2758.54
401.9,2768.66
403.2,2776.99
404.3,2784.63
405.1,2787.55
405.8,2788.96
406.4,2788.63
407.1,2788.38
407.6,2788.1
407.9,2788.42
407.9,2787.29
407.9,2787.02
407.9,2787.1
407.9,2787.59
407.9,2788.74
407.9,2790.33
407.9,2788.92
407.9,2788.69
407.9,2788.74
407.9,2789.34
407.9,2789.46
407.9,2789.88
407.9,2789.4
407.9,2788.97
407.9,2789.39
407.9,2789.6
407.9,2789.04
407.9,2788.48
407.9,2787.19
407.9,2787.94
407.9,2788.17
407.9,2787.18
408.5,2786.82
410,2784.64
411.6,2777.34
413,2766.86
414.7,2751.6
416.7,2721.86
418.5,2691.82
420.3,2652.62
422.2,2605.95
424,2560.84
425.8,2511.16
427.7,2450.87
429.8,2368.47
431.9,2289.96
433.6,2221.65
435.4,2147
437.5,2055.9
439.6,1960.46
441.6,1863.98
443.9,1754.15
445.5,1672.86
446,1642.44
446,1641.62
446,1641.89
446,1641.13
446,1641.54
446,1641.3
446,1641.93
446,1641.51
446,1641.44
446,1641.56
446,1641.52
446,1641.91
446,1641.58
446,1641.4
446,1641.14
446,1641.28
446,1641.54
446,1641.71
446,1641.76
446,1641.38
446,1641.39
446,1641.38
446,1641.72
446,1640.78
446,1640.5
447.6,1571.78
450.2,1432.6
452.7,1305.14
455.4,1171.39
457.8,1051.29
460.2,940.11
462.5,833.86
464.5,746.13
466.8,647.4
469.5,540.58
472.4,436.57
474.9,352.45
477.2,286.88
478.9,245.44
480.2,212.16
481.1,190.61
482,170.16
482.9,150.74
483.8,135.11
484.7,120.27
485.3,110.05
485.8,103.43
486.4,95.3
487.1,84.92
487.7,77.19
